Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2020-06-30,2020Q2,SSM,Loan-to-deposit ratio,110.81,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Total assets,24430.6881,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-06-30,2020Q2,SSM,Return on equity (RoE),0.01,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Cost of risk,0.70,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Net interest margin,1.28,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Liquidity coverage ratio,165.18,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,CET1 (Common equity Tier 1) ratio,14.89,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Non-performing loans ratio (excl. cash balances),3.50,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,SSM,Stage 2 loans ratio,8.41,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Loan-to-deposit ratio,131.64,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Total assets,4177.9073,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-06-30,2020Q2,Germany,Return on equity (RoE),0.86,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Cost of risk,0.51,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Net interest margin,0.97,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Liquidity coverage ratio,152.80,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,CET1 (Common equity Tier 1) ratio,14.83,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Non-performing loans ratio (excl. cash balances),1.54,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Germany,Stage 2 loans ratio,7.27,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Loan-to-deposit ratio,104.63,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Total assets,2567.7238,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-06-30,2020Q2,Italy,Return on equity (RoE),0.14,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Cost of risk,0.47,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Net interest margin,1.28,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Liquidity coverage ratio,180.01,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,CET1 (Common equity Tier 1) ratio,14.78,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Non-performing loans ratio (excl. cash balances),6.59,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-06-30,2020Q2,Italy,Stage 2 loans ratio,11.27,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Loan-to-deposit ratio,108.32,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Total assets,24357.0795,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-09-30,2020Q3,SSM,Return on equity (RoE),2.12,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Cost of risk,0.67,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Net interest margin,1.27,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Liquidity coverage ratio,170.62,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,CET1 (Common equity Tier 1) ratio,15.20,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Non-performing loans ratio (excl. cash balances),3.43,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-09-30,2020Q3,SSM,Stage 2 loans ratio,8.16,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
